Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
   575.000,    -0.003858,    -0.081763,    -0.000509,
   575.050,     0.000143,    -0.038500,     0.002639,
   575.100,    -0.001690,     0.004174,    -0.002342,
   575.150,     0.004853,     0.042267,    -0.000357,
   575.200,     0.000551,     0.073823,     0.000570,
   575.250,     0.008285,     0.105184,     0.003374,
   575.300,     0.005867,     0.128324,    -0.002147,
   575.350,     0.010386,     0.145681,     0.000209,
   575.400,     0.010939,     0.159359,    -0.000353,
   575.450,     0.014907,     0.174020,    -0.001754,
   575.500,     0.018038,     0.172548,     0.001921,
   575.550,     0.019477,     0.173992,    -0.000041,
   575.600,     0.022118,     0.168781,    -0.000323,
   575.650,     0.023662,     0.160968,    -0.001663,
   575.700,     0.028032,     0.141571,    -0.000094,
   575.750,     0.027360,     0.120793,     0.001401,
   575.800,     0.031801,     0.096065,     0.000061,
   575.850,     0.033656,     0.067652,     0.000161,
   575.900,     0.038235,     0.032761,    -0.002233,
   575.950,     0.037250,    -0.000018,    -0.001920,
   576.000,     0.037919,    -0.038921,    -0.001354,
   576.050,     0.043216,    -0.078298,    -0.001289,
   576.100,     0.043519,    -0.119178,    -0.001047,
   576.150,     0.044140,    -0.163237,    -0.001508,
   576.200,     0.045779,    -0.211393,    -0.001631,
   576.250,     0.046204,    -0.261915,     0.001227,
   576.300,     0.049397,    -0.300335,    -0.001624,
   576.350,     0.048904,    -0.351176,    -0.001286,
   576.400,     0.049008,    -0.398717,     0.000446,
   576.450,     0.049545,    -0.445867,     0.000970,
   576.500,     0.049499,    -0.488647,    -0.000216,
   576.550,     0.048804,    -0.535497,    -0.001624,
   576.600,     0.048943,    -0.575722,     0.000321,
   576.650,     0.047694,    -0.620619,    -0.000627,
   576.700,     0.050390,    -0.656702,     0.001730,
   576.750,     0.052188,    -0.692298,    -0.000848,
   576.800,     0.050099,    -0.725118,    -0.000721,
   576.850,     0.049919,    -0.758522,    -0.000898,
   576.900,     0.047082,    -0.787093,     0.000996,
   576.950,     0.052074,    -0.815474,     0.000111,
   577.000,     0.053024,    -0.838875,    -0.003034,
   577.050,     0.050558,    -0.860305,     0.003681,
   577.100,     0.052845,    -0.878136,    -0.000065,
   577.150,     0.050727,    -0.896435,     0.000605,
   577.200,     0.050199,    -0.918016,     0.000732,
   577.250,     0.051755,    -0.935188,    -0.001342,
   577.300,     0.055534,    -0.952445,    -0.000630,
   577.350,     0.057569,    -0.968880,     0.002526,
   577.400,     0.056018,    -0.993000,     0.001309,
   577.450,     0.055736,    -1.017677,    -0.000471,
   577.500,     0.055835,    -1.036018,    -0.000547,
   577.550,     0.054970,    -1.055976,     0.002948,
   577.600,     0.055280,    -1.070150,     0.002715,
   577.650,     0.060365,    -1.065968,     0.000741,
   577.700,     0.057964,    -1.044186,     0.000063,
   577.750,     0.057425,    -0.995113,    -0.002162,
   577.800,     0.056776,    -0.914936,     0.000543,
   577.850,     0.059444,    -0.809558,    -0.000402,
   577.900,     0.058208,    -0.683847,     0.000912,
   577.950,     0.061470,    -0.550784,     0.000234,
   578.000,     0.056893,    -0.425041,     0.000526,
   578.050,     0.058706,    -0.316732,    -0.001521,
   578.100,     0.057316,    -0.236206,    -0.001338,
   578.150,     0.055785,    -0.183244,    -0.002393,
   578.200,     0.056458,    -0.150006,     0.001027,
   578.250,     0.054710,    -0.144093,     0.003040,
   578.300,     0.057779,    -0.145643,     0.002270,
   578.350,     0.052571,    -0.156544,    -0.002019,
   578.400,     0.054681,    -0.176937,    -0.001575,
   578.450,     0.056067,    -0.195600,    -0.000009,
   578.500,     0.054772,    -0.217673,     0.000821,
   578.550,     0.054950,    -0.240997,    -0.000857,
   578.600,     0.053132,    -0.263094,    -0.001642,
   578.650,     0.053047,    -0.289209,     0.001717,
   578.700,     0.052361,    -0.312713,     0.001370,
   578.750,     0.051798,    -0.333037,    -0.001625,
   578.800,     0.049020,    -0.356347,     0.000675,
   578.850,     0.052118,    -0.377448,     0.000061,
   578.900,     0.049922,    -0.399299,    -0.000241,
   578.950,     0.049397,    -0.427316,     0.001860,
   579.000,     0.047125,    -0.454352,     0.003329,
   579.050,     0.047125,    -0.480850,     0.001592,
   579.100,     0.046024,    -0.509437,     0.000400,
   579.150,     0.047210,    -0.532373,     0.000061,
   579.200,     0.045776,    -0.558737,    -0.000873,
   579.250,     0.043526,    -0.583178,    -0.000682,
   579.300,     0.044656,    -0.606941,     0.001139,
   579.350,     0.041376,    -0.622429,     0.000182,
   579.400,     0.038479,    -0.643874,    -0.000180,
   579.450,     0.037634,    -0.671646,    -0.000980,
   579.500,     0.034039,    -0.703851,     0.000659,
   579.550,     0.032318,    -0.747638,     0.000747,
   579.600,     0.034821,    -0.798108,     0.001036,
   579.650,     0.033040,    -0.849118,    -0.000919,
   579.700,     0.029296,    -0.910323,     0.001259,
   579.750,     0.027178,    -0.968488,     0.000711,
   579.800,     0.026347,    -1.023613,    -0.002153,
   579.850,     0.024652,    -1.078552,    -0.001366,
   579.900,     0.025299,    -1.122950,    -0.000418,
   579.950,     0.023267,    -1.164022,    -0.000798,
   580.000,     0.020492,    -1.203995,     0.000286,
   580.050,     0.019637,    -1.241970,    -0.000608,
   580.100,     0.015384,    -1.281551,     0.000564,
   580.150,     0.012098,    -1.326211,     0.000002,
   580.200,     0.013141,    -1.369693,    -0.000128,
   580.250,     0.011371,    -1.416987,     0.000991,
   580.300,     0.007752,    -1.464422,     0.001338,
   580.350,     0.005785,    -1.507910,    -0.000398,
   580.400,     0.007030,    -1.545409,    -0.000490,
   580.450,     0.006276,    -1.587938,     0.000646,
   580.500,     0.005217,    -1.631335,     0.002495,
   580.550,     0.002825,    -1.670914,     0.000286,
   580.600,     0.005731,    -1.706380,    -0.000994,
   580.650,     0.004743,    -1.741368,     0.000607,
   580.700,     0.001094,    -1.775326,     0.001370,
   580.750,     0.001092,    -1.804947,     0.000698,
   580.800,     0.001925,    -1.833590,    -0.000535,
   580.850,     0.002831,    -1.857372,     0.002417,
   580.900,     0.001717,    -1.881709,     0.000036,
   580.950,     0.001417,    -1.903652,     0.001137,
   581.000,     0.000875,    -1.918176,     0.003535,
   581.050,     0.000635,    -1.938455,     0.001467,
   581.100,     0.001511,    -1.959110,     0.002931,
   581.150,     0.001055,    -1.982220,    -0.001605,
   581.200,     0.000757,    -2.011764,    -0.000445,
   581.250,    -0.002420,    -2.046405,    -0.001013,
   581.300,    -0.002767,    -2.089578,     0.001668,
   581.350,    -0.005001,    -2.142646,     0.002292,
   581.400,    -0.003271,    -2.199622,    -0.001499,
   581.450,    -0.002514,    -2.270264,    -0.001092,
   581.500,    -0.004500,    -2.342482,    -0.000234,
   581.550,    -0.003724,    -2.424266,    -0.000381,
   581.600,    -0.009032,    -2.514352,     0.000197,
   581.650,    -0.011747,    -2.605108,     0.001252,
   581.700,    -0.009820,    -2.699387,     0.001240,
   581.750,    -0.008199,    -2.795613,     0.001154,
   581.800,    -0.013687,    -2.897825,    -0.000988,
   581.850,    -0.015056,    -3.007420,     0.003924,
   581.900,    -0.013728,    -3.124057,     0.003025,
   581.950,    -0.015810,    -3.256107,    -0.000311,
   582.000,    -0.018005,    -3.402189,    -0.001326,
   582.050,    -0.019895,    -3.563525,    -0.000113,
   582.100,    -0.015901,    -3.742613,     0.002015,
   582.150,    -0.019661,    -3.943777,    -0.001643,
   582.200,    -0.021195,    -4.161653,    -0.001841,
   582.250,    -0.015828,    -4.394475,    -0.000448,
   582.300,    -0.020410,    -4.648528,    -0.001973,
   582.350,    -0.022466,    -4.932528,     0.000559,
   582.400,    -0.023951,    -5.244421,     0.000713,
   582.450,    -0.023839,    -5.580542,    -0.001794,
   582.500,    -0.022517,    -5.948559,    -0.000789,
   582.550,    -0.023037,    -6.343584,     0.001321,
   582.600,    -0.026172,    -6.755913,    -0.000913,
   582.650,    -0.025874,    -7.164954,    -0.002144,
   582.700,    -0.024600,    -7.539614,    -0.002312,
   582.750,    -0.026132,    -7.832703,    -0.000970,
   582.800,    -0.025570,    -7.977794,    -0.000247,
   582.850,    -0.023186,    -7.893931,    -0.000831,
   582.900,    -0.025268,    -7.482817,    -0.000423,
   582.950,    -0.024433,    -6.652589,     0.000085,
   583.000,    -0.024360,    -5.341001,     0.002015,
   583.050,    -0.025405,    -3.582469,     0.000282,
   583.100,    -0.023842,    -1.480517,     0.000298,
