Time_abs/ps, Signal 1/nA, Signal 2/nA
   575.000,    -0.081763,    -0.000717
   575.050,    -0.038500,     0.000339
   575.100,     0.004174,    -0.001277
   575.150,     0.042267,     0.000482
   575.200,     0.073823,     0.001172
   575.250,     0.105184,     0.000336
   575.300,     0.128324,    -0.001034
   575.350,     0.145681,     0.001728
   575.400,     0.159359,     0.000706
   575.450,     0.174020,     0.000865
   575.500,     0.172548,    -0.003216
   575.550,     0.173992,    -0.000251
   575.600,     0.168781,     0.003138
   575.650,     0.160968,    -0.000352
   575.700,     0.141571,    -0.000654
   575.750,     0.120793,     0.003171
   575.800,     0.096065,    -0.003510
   575.850,     0.067652,    -0.001557
   575.900,     0.032761,    -0.001025
   575.950,    -0.000018,     0.000500
   576.000,    -0.038921,    -0.000401
   576.050,    -0.078298,     0.000515
   576.100,    -0.119178,    -0.000018
   576.150,    -0.163237,     0.002578
   576.200,    -0.211393,     0.000271
   576.250,    -0.261915,     0.000114
   576.300,    -0.300335,     0.000342
   576.350,    -0.351176,    -0.001386
   576.400,    -0.398717,    -0.000446
   576.450,    -0.445867,    -0.001300
   576.500,    -0.488647,    -0.001082
   576.550,    -0.535497,     0.001937
   576.600,    -0.575722,    -0.000434
   576.650,    -0.620619,     0.001053
   576.700,    -0.656702,     0.000524
   576.750,    -0.692298,    -0.000546
   576.800,    -0.725118,     0.001833
   576.850,    -0.758522,    -0.000605
   576.900,    -0.787093,    -0.001023
   576.950,    -0.815474,    -0.000021
   577.000,    -0.838875,    -0.001288
   577.050,    -0.860305,    -0.001049
   577.100,    -0.878136,    -0.001563
   577.150,    -0.896435,     0.001171
   577.200,    -0.918016,     0.000934
   577.250,    -0.935188,    -0.000681
   577.300,    -0.952445,     0.000508
   577.350,    -0.968880,    -0.002303
   577.400,    -0.993000,     0.000034
   577.450,    -1.017677,    -0.000644
   577.500,    -1.036018,     0.001342
   577.550,    -1.055976,    -0.000359
   577.600,    -1.070150,     0.000083
   577.650,    -1.065968,     0.000877
   577.700,    -1.044186,     0.003284
   577.750,    -0.995113,     0.000518
   577.800,    -0.914936,     0.000173
   577.850,    -0.809558,    -0.001331
   577.900,    -0.683847,    -0.000370
   577.950,    -0.550784,    -0.002520
   578.000,    -0.425041,     0.000310
   578.050,    -0.316732,     0.000527
   578.100,    -0.236206,    -0.001526
   578.150,    -0.183244,    -0.000727
   578.200,    -0.150006,    -0.001395
   578.250,    -0.144093,     0.001202
   578.300,    -0.145643,    -0.000187
   578.350,    -0.156544,     0.001549
   578.400,    -0.176937,     0.002096
   578.450,    -0.195600,     0.000441
   578.500,    -0.217673,     0.001001
   578.550,    -0.240997,    -0.001060
   578.600,    -0.263094,    -0.000534
   578.650,    -0.289209,    -0.000434
   578.700,    -0.312713,    -0.000295
   578.750,    -0.333037,     0.001166
   578.800,    -0.356347,    -0.001279
   578.850,    -0.377448,     0.001201
   578.900,    -0.399299,    -0.000377
   578.950,    -0.427316,     0.000135
   579.000,    -0.454352,    -0.000541
   579.050,    -0.480850,     0.000252
   579.100,    -0.509437,     0.000359
   579.150,    -0.532373,    -0.000385
   579.200,    -0.558737,     0.001026
   579.250,    -0.583178,    -0.000236
   579.300,    -0.606941,    -0.000981
   579.350,    -0.622429,     0.000502
   579.400,    -0.643874,     0.000308
   579.450,    -0.671646,     0.000398
   579.500,    -0.703851,    -0.001234
   579.550,    -0.747638,     0.000147
   579.600,    -0.798108,     0.000536
   579.650,    -0.849118,     0.000086
   579.700,    -0.910323,    -0.000173
   579.750,    -0.968488,    -0.000716
   579.800,    -1.023613,    -0.002590
   579.850,    -1.078552,    -0.001452
   579.900,    -1.122950,    -0.000675
   579.950,    -1.164022,     0.000970
   580.000,    -1.203995,    -0.001239
   580.050,    -1.241970,    -0.001127
   580.100,    -1.281551,     0.002116
   580.150,    -1.326211,     0.002776
   580.200,    -1.369693,     0.000423
   580.250,    -1.416987,     0.000567
   580.300,    -1.464422,     0.000773
   580.350,    -1.507910,     0.000338
   580.400,    -1.545409,    -0.001522
   580.450,    -1.587938,    -0.001972
   580.500,    -1.631335,     0.000077
   580.550,    -1.670914,    -0.002602
   580.600,    -1.706380,    -0.001744
   580.650,    -1.741368,     0.002433
   580.700,    -1.775326,     0.000712
   580.750,    -1.804947,    -0.000978
   580.800,    -1.833590,     0.001730
   580.850,    -1.857372,     0.003691
   580.900,    -1.881709,     0.001219
   580.950,    -1.903652,     0.000249
   581.000,    -1.918176,     0.000116
   581.050,    -1.938455,     0.001268
   581.100,    -1.959110,     0.001828
   581.150,    -1.982220,    -0.000590
   581.200,    -2.011764,     0.002983
   581.250,    -2.046405,     0.001861
   581.300,    -2.089578,    -0.000570
   581.350,    -2.142646,     0.000062
   581.400,    -2.199622,    -0.001978
   581.450,    -2.270264,    -0.000879
   581.500,    -2.342482,     0.000161
   581.550,    -2.424266,     0.001779
   581.600,    -2.514352,     0.002844
   581.650,    -2.605108,    -0.001224
   581.700,    -2.699387,    -0.000786
   581.750,    -2.795613,     0.002399
