Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
90.000	-0.067	90.000	834.390	0.008
90.100	0.130	90.041	856.150	0.256
90.200	0.181	90.136	843.876	0.835
90.300	-0.035	90.240	684.754	1.256
90.400	0.008	90.341	621.424	1.655
90.500	-0.043	90.447	588.060	2.025
90.600	-0.004	90.542	620.083	2.366
90.700	-0.090	90.638	643.609	2.798
90.800	-0.018	90.740	514.412	3.219
90.900	0.128	90.842	649.768	3.566
91.000	-0.076	90.944	636.914	4.128
91.100	0.036	91.039	492.590	4.745
91.200	-0.012	91.137	385.825	5.011
91.300	-0.032	91.241	356.188	5.321
91.400	-0.035	91.339	300.104	5.591
91.500	-0.001	91.437	300.289	5.901
91.600	0.032	91.540	299.158	0.145
91.700	0.005	91.642	200.679	0.212
91.800	0.049	91.739	216.772	0.361
91.900	-0.056	91.841	241.378	0.643
92.000	-0.002	91.945	259.461	0.893
92.100	0.038	92.040	281.223	1.276
92.200	-0.006	92.144	274.790	1.659
92.300	-0.015	92.242	301.140	2.095
92.400	-0.005	92.344	229.700	2.464
92.500	0.012	92.447	213.315	2.690
92.600	0.026	92.546	156.703	2.683
92.700	-0.028	92.646	255.452	2.440
92.800	-0.031	92.741	385.468	2.981
92.900	0.131	92.842	501.855	3.412
93.000	-0.100	92.945	605.847	3.972
93.100	0.027	93.042	616.872	4.401
93.200	-0.039	93.144	671.026	4.907
93.300	0.084	93.244	675.220	5.396
93.400	0.108	93.339	702.935	5.671
93.500	0.121	93.440	891.161	6.231
93.600	0.169	93.542	794.893	0.445
93.700	-0.014	93.644	869.631	0.896
93.800	0.123	93.738	843.159	1.433
93.900	-0.032	93.839	751.810	1.839
94.000	0.180	93.937	854.886	2.309
94.100	-0.071	94.038	661.468	2.795
94.200	-0.079	94.143	629.466	3.040
94.300	0.051	94.246	790.924	3.426
94.400	0.009	94.339	793.511	3.952
94.500	-0.027	94.443	727.246	4.412
94.600	0.019	94.543	724.875	4.844
94.700	-0.110	94.648	765.085	5.336
94.800	0.195	94.739	739.514	5.907
94.900	0.123	94.838	581.094	0.251
95.000	0.014	94.943	410.698	0.657
95.100	-0.077	95.047	406.045	0.717
95.200	0.028	95.151	399.889	1.376
95.300	-0.011	95.240	257.228	1.967
95.400	0.031	95.341	126.328	1.917
95.500	0.011	95.444	158.810	1.633
95.600	-0.010	95.546	188.331	1.787
95.700	0.041	95.643	232.885	1.946
95.800	0.000	95.747	301.994	2.442
95.900	0.019	95.839	346.289	2.655
96.000	0.030	95.950	459.837	3.221
96.100	-0.044	96.044	556.853	3.725
96.200	0.040	96.140	517.572	4.614
96.300	-0.041	96.249	392.819	5.064
96.400	0.006	96.346	333.179	5.588
96.500	0.005	96.445	229.000	5.962
96.600	0.051	96.547	200.525	6.236
96.700	-0.057	96.641	150.281	0.320
96.800	-0.005	96.745	67.062	0.481
96.900	-0.010	96.842	86.294	5.707
97.000	-0.011	96.942	183.813	5.891
97.100	0.076	97.039	302.153	0.026
97.200	0.051	97.143	445.601	0.632
97.300	0.048	97.249	495.406	1.229
97.400	-0.025	97.339	559.251	1.870
97.500	-0.102	97.448	542.802	2.352
97.600	-0.048	97.545	492.466	3.072
97.700	-0.049	97.648	390.482	3.297
97.800	-0.022	97.741	403.059	3.669
97.900	0.090	97.841	361.460	3.889
98.000	0.006	97.942	433.347	4.150
98.100	-0.006	98.044	504.455	4.673
98.200	0.002	98.141	555.912	5.092
98.300	0.066	98.244	543.651	5.741
98.400	-0.086	98.342	500.747	6.096
