Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
90.000	0.019	90.001	841.799	0.547
90.100	0.022	90.047	861.092	0.767
90.200	0.069	90.145	723.229	1.246
90.300	-0.071	90.239	699.380	1.678
90.400	-0.018	90.346	640.070	2.049
90.500	0.008	90.440	598.900	2.338
90.600	-0.076	90.546	636.375	2.760
90.700	0.022	90.646	589.387	3.296
90.800	-0.110	90.741	584.782	3.375
90.900	0.006	90.842	647.971	3.954
91.000	-0.018	90.942	614.817	4.616
91.100	0.009	91.045	443.772	5.056
91.200	-0.006	91.138	374.563	5.279
91.300	-0.021	91.240	326.903	5.635
91.400	0.035	91.344	316.967	5.831
91.500	0.020	91.443	333.675	6.156
91.600	-0.008	91.547	230.246	0.375
91.700	0.085	91.647	221.091	0.397
91.800	0.063	91.748	239.130	0.567
91.900	0.004	91.845	235.856	0.808
92.000	-0.024	91.946	276.318	1.102
92.100	0.018	92.048	294.164	1.505
92.200	-0.029	92.140	300.574	1.822
92.300	0.022	92.242	264.092	2.395
92.400	-0.059	92.342	215.101	2.567
92.500	0.014	92.442	185.918	2.795
92.600	0.012	92.546	180.262	2.505
92.700	0.013	92.643	358.624	2.694
92.800	-0.032	92.744	433.036	3.161
92.900	-0.022	92.846	561.849	3.619
93.000	-0.115	92.950	598.673	4.185
93.100	-0.096	93.045	675.686	4.590
93.200	0.001	93.139	700.084	5.060
93.300	-0.058	93.246	660.344	5.494
93.400	-0.100	93.344	814.781	5.813
93.500	0.106	93.452	862.758	0.194
93.600	-0.083	93.545	845.006	0.569
93.700	-0.092	93.643	892.332	1.051
93.800	0.032	93.746	824.360	1.567
93.900	-0.032	93.842	790.873	1.886
94.000	-0.120	93.948	785.291	2.525
94.100	-0.031	94.043	645.938	2.787
94.200	-0.138	94.153	711.719	2.991
94.300	-0.014	94.243	815.696	3.545
94.400	0.059	94.342	800.905	4.026
94.500	0.055	94.448	761.815	4.454
94.600	0.048	94.543	745.141	4.877
94.700	0.011	94.643	770.398	5.448
94.800	-0.123	94.749	700.963	6.018
94.900	-0.049	94.841	526.430	0.252
95.000	0.040	94.944	362.416	0.493
95.100	-0.024	95.049	452.552	0.812
95.200	0.022	95.142	356.887	1.435
95.300	-0.008	95.240	191.424	1.864
95.400	0.001	95.343	128.144	1.481
95.500	-0.028	95.440	171.482	1.457
95.600	0.022	95.548	206.728	1.592
95.700	0.008	95.645	299.993	1.791
95.800	-0.080	95.745	333.450	2.323
95.900	-0.070	95.843	419.135	2.658
96.000	-0.137	95.945	460.501	3.208
96.100	0.112	96.045	620.172	3.745
96.200	-0.047	96.144	471.655	4.554
96.300	-0.021	96.242	396.446	4.963
96.400	-0.022	96.342	300.591	5.514
96.500	-0.006	96.440	210.156	5.787
96.600	-0.012	96.543	172.306	6.062
96.700	-0.066	96.644	126.022	0.049
96.800	0.025	96.740	52.350	5.797
96.900	0.002	96.847	142.375	5.367
97.000	0.054	96.950	247.036	5.803
97.100	0.069	97.049	369.824	6.170
97.200	0.004	97.148	508.906	0.500
97.300	0.052	97.242	590.842	1.093
97.400	0.031	97.346	580.016	1.792
97.500	0.015	97.439	578.252	2.261
97.600	0.000	97.540	414.406	2.870
97.700	0.013	97.640	376.646	2.924
97.800	-0.046	97.743	444.209	3.337
97.900	0.031	97.840	442.200	3.586
98.000	0.078	97.943	526.965	4.008
98.100	-0.024	98.043	492.012	4.500
98.200	0.003	98.147	547.540	4.830
98.300	0.093	98.246	588.383	5.396
98.400	0.087	98.342	593.866	5.866
98.500	0.098	98.448	509.482	0.264
98.600	-0.072	98.546	383.287	0.578
98.700	0.078	98.641	357.624	0.895
98.800	-0.008	98.745	341.001	1.000
98.900	-0.011	98.842	321.104	1.480
99.000	0.016	98.944	361.721	1.750
99.100	-0.032	99.046	338.732	2.204
99.200	0.040	99.143	340.385	2.522
99.300	0.073	99.246	336.572	3.075
99.400	0.046	99.345	287.672	3.465
99.500	-0.039	99.447	247.082	3.665
99.600	0.051	99.540	242.572	4.123
99.700	0.027	99.647	211.480	4.228
99.800	0.021	99.747	253.874	4.615
99.900	-0.034	99.841	223.636	5.091
100.000	0.034	99.953	190.931	5.481
100.100	-0.035	100.049	147.120	5.676
100.200	-0.018	100.139	105.317	5.778
100.300	-0.017	100.250	153.862	5.621
100.400	-0.074	100.340	187.265	5.967
100.500	-0.030	100.437	228.195	6.145
100.600	0.026	100.544	276.753	0.370
100.700	0.013	100.647	328.261	0.754
100.800	-0.030	100.747	317.088	1.303
100.900	-0.035	100.841	297.181	1.593
101.000	0.016	100.946	344.132	1.961
101.100	-0.018	101.041	318.847	2.326
101.200	-0.115	101.146	359.949	2.518
101.300	0.003	101.246	426.514	2.965
101.400	0.029	101.343	440.980	3.411
101.500	0.041	101.447	460.796	3.820
101.600	-0.051	101.546	420.012	4.133
101.700	-0.032	101.645	493.266	4.371
101.800	-0.020	101.745	543.639	4.764
101.900	0.040	101.841	742.786	5.154
102.000	-0.083	101.949	769.393	5.764
102.100	0.173	102.042	839.648	0.002
102.200	-0.144	102.145	829.771	0.530
102.300	-0.093	102.247	822.987	0.988
102.400	-0.045	102.347	800.753	1.535
102.500	-0.001	102.442	713.276	2.053
102.600	0.071	102.543	612.555	2.471
102.700	0.079	102.644	552.143	2.851
102.800	0.077	102.743	529.944	3.186
102.900	-0.031	102.845	543.391	3.522
103.000	0.106	102.945	550.668	4.017
103.100	-0.041	103.043	521.909	4.495
103.200	0.016	103.143	491.604	4.982
103.300	0.041	103.245	350.407	5.569
103.400	-0.067	103.338	261.685	6.007
103.500	0.094	103.440	170.053	5.938
103.600	0.031	103.543	220.979	5.945
103.700	0.007	103.646	175.763	0.223
103.800	-0.023	103.745	157.670	0.209
103.900	-0.047	103.845	205.528	0.445
104.000	0.056	103.945	193.075	0.656
104.100	0.002	104.045	232.427	0.944
104.200	-0.029	104.144	244.875	1.249
104.300	0.020	104.243	305.993	1.612
104.400	0.009	104.348	276.203	2.115
104.500	0.060	104.446	309.329	2.401
104.600	-0.019	104.542	285.107	2.923
104.700	0.043	104.643	285.341	3.076
104.800	-0.047	104.741	317.259	3.648
104.900	0.019	104.844	267.764	3.895
105.000	-0.059	104.940	320.538	4.113
105.100	0.003	105.040	314.973	4.685
105.200	0.018	105.146	280.144	4.945
105.300	-0.030	105.241	294.671	5.337
105.400	0.010	105.342	267.085	5.600
105.500	0.046	105.447	292.054	5.863
105.600	0.083	105.546	307.780	0.010
105.700	0.019	105.643	311.268	0.178
105.800	0.007	105.741	361.362	0.516
105.900	-0.068	105.841	435.340	0.892
106.000	0.002	105.945	446.391	1.425
106.100	0.018	106.046	360.485	1.814
106.200	-0.010	106.149	441.594	2.075
106.300	0.094	106.241	396.969	2.570
106.400	-0.074	106.339	390.458	2.657
106.500	0.043	106.444	527.659	3.042
106.600	-0.142	106.545	522.218	3.469
106.700	0.015	106.643	749.343	3.692
106.800	-0.076	106.739	938.596	4.543
106.900	-0.049	106.842	711.371	5.004
107.000	0.096	106.942	898.185	5.643
107.100	-0.014	107.043	612.837	6.231
107.200	-0.085	107.144	578.788	0.227
107.300	0.093	107.242	448.950	0.866
107.400	0.029	107.345	323.617	0.920
107.500	0.032	107.442	399.388	1.055
107.600	0.011	107.548	407.622	1.373
107.700	0.003	107.642	454.624	1.667
107.800	-0.039	107.742	536.937	2.250
107.900	0.033	107.837	470.084	2.725
108.000	0.049	107.946	482.261	3.149
108.100	0.069	108.046	459.567	3.739
108.200	0.043	108.135	420.976	4.142
108.300	-0.019	108.244	316.630	4.818
108.400	0.012	108.341	136.482	5.309
108.500	0.012	108.439	125.252	4.659
108.600	-0.007	108.549	140.065	4.699
108.700	0.013	108.649	214.992	4.681
108.800	-0.018	108.742	283.981	5.332
108.900	0.052	108.843	275.610	5.632
109.000	0.023	108.944	320.457	6.043
109.100	0.006	109.044	300.143	0.322
109.200	-0.077	109.148	263.569	0.534
109.300	-0.023	109.241	293.083	0.785
109.400	0.016	109.347	279.373	1.163
109.500	-0.040	109.440	292.882	1.295
109.600	0.043	109.544	365.957	1.657
109.700	-0.017	109.645	388.766	2.045
109.800	-0.011	109.743	407.980	2.309
109.900	0.068	109.848	470.844	2.681
110.000	0.010	109.941	539.400	3.059
110.100	-0.032	110.046	689.274	3.452
110.200	0.086	110.142	798.671	3.856
110.300	-0.015	110.245	975.154	4.486
110.400	-0.049	110.346	1013.235	5.177
110.500	0.033	110.446	947.585	5.664
110.600	0.151	110.541	873.030	0.062
110.700	-0.131	110.644	730.283	0.480
110.800	0.040	110.745	626.120	0.960
110.900	0.021	110.847	514.656	1.247
111.000	-0.038	110.944	512.349	1.626
111.100	-0.078	111.051	457.272	1.950
111.200	-0.005	111.142	477.027	2.268
111.300	-0.043	111.245	470.797	2.775
111.400	0.001	111.345	453.902	3.063
111.500	-0.046	111.441	430.523	3.654
111.600	-0.060	111.540	402.173	4.011
111.700	0.017	111.642	278.542	4.769
111.800	0.016	111.741	168.156	4.369
111.900	-0.030	111.844	230.429	4.473
112.000	0.076	111.944	331.108	4.703
112.100	0.025	112.044	352.449	5.248
112.200	0.056	112.142	431.994	5.659
112.300	0.058	112.242	427.303	0.247
112.400	-0.035	112.345	255.897	0.236
112.500	0.031	112.452	348.794	0.800
112.600	-0.017	112.551	278.249	1.234
112.700	0.052	112.640	270.552	1.475
112.800	0.036	112.745	211.904	2.053
112.900	-0.029	112.840	187.833	2.067
113.000	0.016	112.947	221.149	2.481
113.100	0.032	113.042	154.346	2.799
113.200	0.060	113.144	196.175	2.997
113.300	-0.014	113.242	131.918	3.475
113.400	-0.008	113.349	112.034	3.154
113.500	0.022	113.441	206.682	3.511
113.600	-0.018	113.540	159.627	3.691
113.700	-0.057	113.643	263.302	3.974
113.800	0.011	113.745	256.365	4.456
113.900	-0.037	113.843	327.688	4.603
114.000	0.005	113.946	436.296	5.247
114.100	0.033	114.045	340.599	5.818
